,MSFT,AAPL,NVDA,UNH,JNJ
2020-05-13,179.75,307.65,311.2,278.0,147.13
2020-05-14,180.53,309.54,321.22,290.61,147.64
2020-05-15,183.16,307.71,339.63,290.96,150.44
2020-05-18,184.91,314.96,350.01,293.36,150.52
2020-05-19,183.63,313.14,352.22,289.05,149.02
2020-05-20,185.66,319.23,358.8,287.99,147.68
2020-05-21,183.43,316.85,351.01,286.91,146.71
2020-05-22,183.51,318.89,361.05,289.94,144.37
2020-05-26,181.57,316.73,348.71,294.89,144.56
2020-05-27,181.81,318.11,341.01,303.77,144.89
2020-05-28,181.4,318.25,339.48,303.97,146.97
2020-05-29,183.25,317.94,355.02,304.85,148.75
2020-06-01,182.83,321.85,352.25,305.93,147.19
2020-06-02,184.91,323.34,353.01,306.31,148.25
2020-06-03,185.36,325.12,350.78,305.35,148.65
2020-06-04,182.92,322.32,350.66,298.08,146.73
2020-06-05,187.2,331.5,356.8,311.85,147.3
2020-06-08,188.36,333.46,352.2,309.48,146.77
2020-06-09,189.8,343.99,361.84,309.21,145.96
2020-06-10,196.84,352.84,374.67,305.75,147.8
2020-06-11,186.27,335.9,351.85,283.73,140.87
2020-06-12,187.74,338.8,357.3,285.15,142.15
2020-06-15,188.94,342.99,366.95,286.28,141.25
2020-06-16,193.57,352.08,362.74,293.0,144.46
2020-06-17,194.24,351.59,369.44,292.6,144.02
2020-06-18,196.32,351.73,368.72,291.48,143.41
2020-06-19,195.15,349.72,370.45,291.24,143.83
2020-06-22,200.57,358.87,381.07,292.67,143.39
2020-06-23,201.91,366.53,378.0,297.6,142.86
2020-06-24,197.84,360.06,369.42,289.18,139.82
2020-06-25,200.34,364.84,379.6,296.22,139.67
2020-06-26,196.33,353.63,366.2,286.88,137.81
2020-06-29,198.44,361.78,368.0,289.76,139.04
2020-06-30,203.51,364.8,379.91,294.95,140.63
2020-07-01,204.7,364.11,381.2,297.73,140.38
2020-07-02,206.26,364.11,384.49,298.26,140.97
2020-07-06,210.7,373.85,393.57,302.81,142.98
2020-07-07,208.25,372.69,394.87,296.65,142.85
2020-07-08,212.83,381.37,408.64,298.36,143.27
2020-07-09,214.32,383.01,420.36,291.16,142.49
2020-07-10,213.67,383.68,419.17,291.23,142.37
2020-07-13,207.07,381.91,402.09,299.71,145.21
2020-07-14,208.35,388.23,415.08,308.52,147.92
2020-07-15,208.04,390.9,409.09,304.07,148.26
2020-07-16,203.92,386.09,405.39,307.15,149.25
2020-07-17,202.88,385.31,408.06,306.53,149.35
2020-07-20,211.6,393.43,420.43,303.46,149.6
2020-07-21,208.75,388.0,413.14,305.11,149.74
2020-07-22,211.75,389.09,417.55,306.71,150.01
2020-07-23,202.54,371.38,405.19,302.97,149.61
2020-07-24,201.3,370.46,407.78,300.79,148.12
2020-07-27,203.85,379.24,416.86,298.6,147.18
2020-07-28,202.02,373.01,408.62,299.93,146.83
2020-07-29,204.06,380.16,418.62,306.68,146.54
2020-07-30,203.9,384.76,424.56,305.23,146.84
2020-07-31,205.01,425.04,424.59,302.78,145.76
2020-08-03,216.54,435.75,440.41,303.61,147.35
2020-08-04,213.29,438.66,449.11,304.5,147.22
2020-08-05,212.94,440.25,451.47,312.47,148.4
2020-08-06,216.35,455.61,453.42,314.06,147.55
2020-08-07,212.48,444.45,447.98,317.03,148.6
2020-08-10,208.25,450.91,446.6,319.1,148.03
2020-08-11,203.38,437.5,434.0,315.55,146.97
2020-08-12,209.19,452.04,457.61,322.27,149.66
2020-08-13,208.7,460.04,457.72,321.52,148.0
2020-08-14,208.9,459.63,462.56,323.7,148.24
2020-08-17,210.28,458.43,493.48,320.51,148.99
2020-08-18,211.49,462.25,490.43,316.81,150.09
2020-08-19,209.7,462.83,485.54,315.4,150.39
2020-08-20,214.58,473.1,485.64,313.33,151.42
2020-08-21,213.02,497.48,507.34,314.14,152.76
2020-08-24,213.69,503.43,508.81,308.84,152.15
2020-08-25,216.47,499.3,510.0,312.22,152.06
2020-08-26,221.15,506.09,510.92,308.82,152.3
2020-08-27,226.58,500.04,505.13,311.67,152.98
2020-08-28,228.91,499.23,525.91,314.37,153.64
2020-08-31,225.53,129.04,534.98,312.55,153.41
2020-09-01,227.27,134.18,552.84,312.83,151.52
2020-09-02,231.65,131.4,573.86,320.24,153.83
2020-09-03,217.3,120.88,520.62,316.23,149.55
2020-09-04,214.25,120.96,504.9,312.0,148.59
2020-09-08,202.66,112.82,476.52,307.25,147.26
2020-09-09,211.29,117.32,508.6,312.02,149.7
2020-09-10,205.37,113.49,492.47,304.6,146.91
2020-09-11,204.03,112.0,486.58,301.48,147.78
2020-09-14,205.41,115.355,514.89,308.57,148.35
2020-09-15,208.78,115.54,519.64,307.23,148.89
2020-09-16,205.05,112.13,500.58,306.52,148.4
2020-09-17,202.91,110.34,498.54,304.98,147.17
2020-09-18,200.39,106.84,487.57,308.02,149.18
2020-09-21,202.54,110.08,500.69,299.19,145.1
2020-09-22,207.42,111.81,505.51,294.26,144.21
2020-09-23,200.59,107.12,484.95,292.14,144.44
2020-09-24,203.19,108.22,493.92,292.66,144.67
